propertyid,quickrefid,description,area,class,actyrbuilt,effyrbuilt,bedrooms
62578,R000009,Main Area,1282.000000,R4,1996.000000,1996.000000,
62579,R000013,Covered Patio,168.000000,,2020.000000,2020.000000,
62580,R000016,Garage,420.000000,R4,1995.000000,1995.000000,
62582,R000019,Fireplace,1.000000,R4,1995.000000,2000.000000,
62588,R000039,Fireplace,1.000000,R4,1995.000000,1995.000000,
62588,R000039,Garage,462.000000,R4,1995.000000,1995.000000,
62588,R000039,Open Porch,114.000000,R4,1995.000000,1995.000000,
62589,R000040,Garage,820.000000,R4,1995.000000,1995.000000,
62589,R000040,Out Bldg,120.000000,,2010.000000,2010.000000,
62589,R000040,Open Porch,15.000000,R4,1995.000000,1995.000000,
62593,R000046,Main Area,674.000000,PD,1983.000000,1999.000000,
62595,R000051,Garage,462.000000,R4,1994.000000,1994.000000,
62597,R000069,Garage,441.000000,R4,1995.000000,1998.000000,
62597,R000069,Patio,81.000000,,1995.000000,1995.000000,
62599,R000072,Main Area,1394.000000,H1,1935.000000,1995.000000,
62599,R000072,Open Porch,18.000000,H1,,,
62601,R000088,Open Porch,30.000000,R4,1995.000000,1995.000000,
62604,R000102,Garage,420.000000,R4,1994.000000,2008.000000,
62606,R000107,Covered Patio,266.000000,,,,
62607,R000115,Open Porch,53.000000,R4,1994.000000,2001.000000,
62609,R000125,Main Area,1601.000000,R4,1993.000000,1993.000000,
62609,R000125,Open Porch,26.000000,R4,1993.000000,1993.000000,
62611,R000137,Patio,100.000000,,1994.000000,1994.000000,
62613,R000144,Garage,460.000000,R4,1994.000000,1994.000000,
62614,R000147,Open Porch,60.000000,R4,1994.000000,1994.000000,
62618,R000182,Garage,483.000000,R4,1995.000000,1995.000000,
62618,R000182,Patio,142.000000,,1995.000000,1995.000000,
62619,R000199,Main Area,1088.000000,R4,1996.000000,1996.000000,
62619,R000199,Patio,168.000000,,1996.000000,1996.000000,
62621,R000204,Garage,737.000000,R4,1994.000000,1994.000000,
62621,R000204,Open Porch,10.000000,R4,1994.000000,1994.000000,
62622,R000205,Open Porch,57.000000,R4,1995.000000,1995.000000,
62623,R000208,Main Area,1903.000000,R4,1995.000000,1995.000000,
62578,R000009,Second Floor,740.000000,R4,1996.000000,1996.000000,
62582,R000019,Open Porch,15.000000,R4,1995.000000,2000.000000,
62586,R000037,Garage,648.000000,R3,,,
62586,R000037,Second Floor,950.000000,R3,1986.000000,1986.000000,
62589,R000040,Deck,80.000000,,2011.000000,2011.000000,
62589,R000040,Main Area,1079.000000,R4,1995.000000,1995.000000,
62590,R000043,Fireplace,1.000000,R4,1995.000000,1995.000000,
62590,R000043,Garage,693.000000,R4,1995.000000,1995.000000,
62590,R000043,Open Porch,12.000000,R4,1995.000000,1995.000000,
62592,R000045,Fireplace,2.000000,R4,1995.000000,1995.000000,
62592,R000045,Main Area,1553.000000,R4,1995.000000,1995.000000,
62592,R000045,Second Floor,993.000000,R4,1995.000000,1995.000000,
62601,R000088,Patio,210.000000,,1995.000000,1995.000000,
62604,R000102,Covered Patio,300.000000,,,,
62605,R000104,Fireplace,1.000000,R4,1995.000000,2007.000000,
62605,R000104,Main Area,1115.000000,R4,1995.000000,2007.000000,
62606,R000107,Detached Garage,320.000000,,,,
62609,R000125,Garage,420.000000,R4,1993.000000,1993.000000,
62612,R000139,Main Area,1531.000000,R4,1994.000000,1994.000000,
62612,R000139,Open Porch,37.000000,R4,1994.000000,1994.000000,
62612,R000139,Patio,132.000000,,1994.000000,1994.000000,
62613,R000144,Main Area,892.000000,R4,1994.000000,1994.000000,
62613,R000144,Second Floor,950.000000,R4,1994.000000,1994.000000,
62616,R000167,Open Porch,31.000000,R4,1995.000000,1995.000000,
62621,R000204,Open Porch,184.000000,R4,1994.000000,1994.000000,
62622,R000205,Garage,462.000000,R4,1995.000000,1995.000000,
62622,R000205,Patio,185.000000,,1995.000000,1995.000000,
62623,R000208,Open Porch,70.000000,R4,1995.000000,1995.000000,
62623,R000208,Patio,237.000000,,1995.000000,1995.000000,
62626,R000231,Main Area,2106.000000,R4,1994.000000,1994.000000,
62629,R000243,Covered Patio,286.000000,,2020.000000,2020.000000,
62630,R000247,Fireplace,1.000000,R4,1996.000000,1996.000000,
62631,R000252,Deck,196.000000,,2022.000000,2022.000000,
62627,R000234,Patio,120.000000,,1994.000000,1994.000000,
62628,R000236,Fireplace,1.000000,R4,1996.000000,1996.000000,
62629,R000243,Fireplace,1.000000,R4,1993.000000,2000.000000,
62629,R000243,Out Bldg,221.000000,,2023.000000,2023.000000,
62633,R000266,Open Porch,50.000000,R4,1999.000000,1999.000000,
62635,R000272,Open Porch,36.000000,R4,1994.000000,2004.000000,
62637,R000289,Open Porch,15.000000,R4,1996.000000,1996.000000,
62639,R000313,Open Porch,88.000000,R4,1996.000000,1996.000000,
62640,R000318,Open Porch,18.000000,R4,1996.000000,1996.000000,
62643,R000336,Main Area,1403.000000,R4,1998.000000,1998.000000,
62649,R000378,Fireplace,1.000000,R4,1996.000000,2001.000000,
